round,stadium,home_team,home_score,away_score,away_team,year,pontos
21,Arena do Jacaré,Atlético-MG,2.0,0.0,Avaí,2011,3
22,Morumbi,São Paulo,2.0,1.0,Atlético-MG,2011,0
23,Arena do Jacaré,Atlético-MG,2.0,0.0,Bahia,2011,3
24,Serra Dourada,Atlético-GO,1.0,0.0,Atlético-MG,2011,0
25,Arena do Jacaré,Atlético-MG,1.0,1.0,Flamengo,2011,1
26,Beira-Rio,Internacional,2.0,1.0,Atlético-MG,2011,0
27,Arena do Jacaré,Atlético-MG,1.0,1.0,Ceará,2011,1
28,Arena do Jacaré,América-MG,0.0,0.0,Atlético-MG,2011,1
29,Arena do Jacaré,Atlético-MG,2.0,1.0,Santos,2011,3
30,São Januário,Vasco,2.0,0.0,Atlético-MG,2011,0
31,Nilton Santos (Engenhão),Fluminense,0.0,2.0,Atlético-MG,2011,3
32,Arena do Jacaré,Atlético-MG,2.0,1.0,Palmeiras,2011,3
33,Arena do Jacaré,Atlético-MG,2.0,0.0,Grêmio,2011,3
34,Orlando Scarpelli,Figueirense,2.0,1.0,Atlético-MG,2011,0
35,Arena do Jacaré,Atlético-MG,2.0,1.0,Coritiba,2011,3
36,Pacaembu,Corinthians,2.0,1.0,Atlético-MG,2011,0
37,Arena do Jacaré,Atlético-MG,4.0,0.0,Botafogo,2011,3
38,Arena do Jacaré,Cruzeiro,6.0,1.0,Atlético-MG,2011,0
1,Moisés Lucarelli,Ponte Preta,0.0,1.0,Atlético-MG,2012,3
2,Independência,Atlético-MG,1.0,0.0,Corinthians,2012,3
3,Independência,Atlético-MG,1.0,1.0,Bahia,2012,1
4,Pacaembu,Palmeiras,0.0,1.0,Atlético-MG,2012,3
5,Morumbi,São Paulo,1.0,0.0,Atlético-MG,2012,0
6,Independência,Atlético-MG,5.0,1.0,Náutico,2012,3
7,Olímpico,Grêmio,0.0,1.0,Atlético-MG,2012,3
8,Independência,Atlético-MG,2.0,0.0,Portuguesa,2012,3
9,Orlando Scarpelli,Figueirense,3.0,4.0,Atlético-MG,2012,3
10,Independência,Atlético-MG,3.0,1.0,Internacional,2012,3
11,Ilha do Retiro,Sport,1.0,4.0,Atlético-MG,2012,3
12,Independência,Atlético-MG,2.0,0.0,Santos,2012,3
13,Nilton Santos (Engenhão),Fluminense,0.0,0.0,Atlético-MG,2012,1
14,Nilton Santos (Engenhão),Flamengo,2.0,1.0,Atlético-MG,2012,0
15,Independência,Atlético-MG,1.0,0.0,Coritiba,2012,3
16,Independência,Atlético-MG,1.0,0.0,Vasco,2012,3
17,Serra Dourada,Atlético-GO,1.0,1.0,Atlético-MG,2012,1
18,Independência,Atlético-MG,3.0,2.0,Botafogo,2012,3
19,Independência,Cruzeiro,2.0,2.0,Atlético-MG,2012,1
20,Independência,Atlético-MG,2.0,2.0,Ponte Preta,2012,1
21,Pacaembu,Corinthians,1.0,0.0,Atlético-MG,2012,0
22,Pituaçu,Bahia,0.0,0.0,Atlético-MG,2012,1
23,Independência,Atlético-MG,3.0,0.0,Palmeiras,2012,3
24,Independência,Atlético-MG,1.0,0.0,São Paulo,2012,3
25,Aflitos,Náutico,1.0,0.0,Atlético-MG,2012,0
26,Independência,Atlético-MG,0.0,0.0,Grêmio,2012,1
27,Canindé,Portuguesa,1.0,1.0,Atlético-MG,2012,1
28,Independência,Atlético-MG,6.0,0.0,Figueirense,2012,3
29,Beira-Rio,Internacional,3.0,0.0,Atlético-MG,2012,0
30,Independência,Atlético-MG,2.0,1.0,Sport,2012,3
31,Vila Belmiro,Santos,2.0,2.0,Atlético-MG,2012,1
32,Independência,Atlético-MG,3.0,2.0,Fluminense,2012,3
33,Independência,Atlético-MG,1.0,1.0,Flamengo,2012,1
34,Couto Pereira,Coritiba,1.0,0.0,Atlético-MG,2012,0
35,São Januário,Vasco,1.0,1.0,Atlético-MG,2012,1
36,Independência,Atlético-MG,2.0,2.0,Atlético-GO,2012,1
37,Nilton Santos (Engenhão),Botafogo,2.0,3.0,Atlético-MG,2012,3
38,Independência,Atlético-MG,3.0,2.0,Cruzeiro,2012,3
1,Couto Pereira,Coritiba,2.0,1.0,Atlético-MG,2013,0
2,Arena do Jacaré,Atlético-MG,2.0,0.0,Grêmio,2013,3
3,Independência,Atlético-MG,0.0,0.0,São Paulo,2013,1
4,Raulino de Oliveira,Vasco,2.0,0.0,Atlético-MG,2013,0
5,Vila Belmiro,Santos,1.0,0.0,Atlético-MG,2013,0
6,Independência,Atlético-MG,3.0,2.0,Criciúma,2013,3
7,Pacaembu,Corinthians,0.0,1.0,Atlético-MG,2013,3
8,Independência,Atlético-MG,4.0,0.0,Ponte Preta,2013,3
9,Mineirão,Cruzeiro,4.0,1.0,Atlético-MG,2013,0
10,Independência,Atlético-MG,1.0,2.0,Athletico-PR,2013,0
11,Mané Garrincha,Flamengo,3.0,0.0,Atlético-MG,2013,0
12,Independência,Atlético-MG,2.0,2.0,Botafogo,2013,1
13,Arena de Pernambuco,Náutico,0.0,0.0,Atlético-MG,2013,1
14,Independência,Atlético-MG,2.0,0.0,Bahia,2013,3
15,Estádio do Vale,Internacional,0.0,0.0,Atlético-MG,2013,1
16,Independência,Atlético-MG,2.0,1.0,Portuguesa,2013,3
17,Serra Dourada,Goiás,0.0,0.0,Atlético-MG,2013,1
18,Independência,Atlético-MG,2.0,2.0,Fluminense,2013,1
19,Barradão,Vitória,1.0,1.0,Atlético-MG,2013,1
20,Independência,Atlético-MG,3.0,0.0,Coritiba,2013,3
21,Arena do Grêmio,Grêmio,0.0,1.0,Atlético-MG,2013,3
22,Morumbi,São Paulo,1.0,0.0,Atlético-MG,2013,0
